source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
SAR1B,VDAC1,0.4,0.0,0.0,189,0.507060401814736,0.7015808249783607,0
SEC13,COPE,0.2,0.0,0.0,189,0.45493387087763143,0.6685994416943167,0
SEC13,COPG1,0.2,0.0,0.0,189,4.777387811743401e-07,9.46791402690965e-06,0
SEC13,COPG2,0.2,0.0,0.0,189,7.243684536469632e-06,0.00010298629754024215,0
COPE,TMED2,1.0,0.0,0.0,189,0.7948433427777506,0.8917071113976928,0
COPG1,AP2B1,0.2,0.0,0.0,189,0.5015643225863197,0.6982896085079618,0
COPG1,COPA,1.0,0.0,0.0,189,2.6278068491676382e-06,4.2964641983890884e-05,0
COPG1,COPE,1.0,0.0,0.0,189,9.352129836918457e-09,2.9125204349260336e-07,0
COPG2,COPG1,0.2,0.0,0.0,189,0.06890648774806696,0.19341134329285747,0
COPB2,COPZ1,1.0,0.0,0.0,189,5.053576954735575e-08,1.3220157313588265e-06,0
SEC23A,SAR1B,1.0,0.0,0.0,189,0.4299596206680572,0.6479115021126945,0
SEC23A,SEC24A,1.0,0.0,0.0,189,0.584846416049035,0.7633510702606913,0
SEC23A,SEC24D,1.0,0.0,0.0,189,0.855359493297017,0.9292443664721746,0
SEC23A,TMED10,0.6,0.0,0.0,189,0.0635952380682683,0.18595987772156092,0
SEC23B,COPB1,0.2,0.0,0.0,189,0.40958510559244493,0.6287996691489648,0
SEC23B,COPB2,0.2,0.0,0.0,189,0.5676612525027186,0.7500009275490465,0
