region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron -0.182-0.263 (middle third),1,63,0.53364,0.53789,0.00872,-0.48745,0.70149,0.84058,False
celltype_oligodendrocyte -0.464-0.391 (middle third),1,63,0.53263,0.53789,0.00872,-0.60287,0.73632,0.86736,False
lastMMSE <= 25 (lower half)  AND  apoeGenotype = e3-4,2,46,0.53025,0.53629,0.00985,-0.61393,0.73632,0.86736,False
lastMMSE <= 25 (lower half)  AND  celltype_neuron > 0.0182 (upper half),2,42,0.52835,0.53576,0.01108,-0.66837,0.74627,0.87169,False
celltype_astrocyte <= -0.237 (low third),1,64,0.53182,0.53789,0.00872,-0.69635,0.75622,0.87595,False
CERAD = 3  AND  Braak = 5,2,45,0.5278,0.53576,0.01108,-0.71761,0.77612,0.89158,False
celltype_oligodendrocyte <= -0.464 (low third),1,64,0.52879,0.53789,0.00872,-1.04367,0.86567,0.97597,False
Braak = 5,1,48,0.52478,0.53629,0.00985,-1.16934,0.8607,0.97597,False
lastMMSE <= 25 (lower half)  AND  Braak = 5,2,45,0.52243,0.53576,0.01108,-1.20253,0.87065,0.97597,False
apoeGenotype = e3-3,1,92,0.53203,0.54096,0.00655,-1.36366,0.90547,1.0,False
celltype_astrocyte > 0.251 (high third),1,63,0.52587,0.53789,0.00872,-1.37815,0.91542,1.0,False
celltype_oligodendrocyte <= -0.073 (lower half),1,95,0.53184,0.54042,0.00581,-1.47665,0.95522,1.0,False
celltype_neuron > 0.263 (high third),1,63,0.52501,0.53789,0.00872,-1.47708,0.9204,1.0,False
diagnosis = control,1,100,0.53155,0.54042,0.00581,-1.52724,0.95522,1.0,False
ageDeath > 88 (high third),1,63,0.52333,0.53789,0.00872,-1.67047,0.93035,1.0,False
TangleTotal <= 6 (low third),1,64,0.52171,0.53789,0.00872,-1.85595,0.9602,1.0,False
celltype_endothelial > -0.0629 (upper half),1,50,0.51621,0.53629,0.00985,-2.03937,0.99005,1.0,False
TangleTotal <= 8 (lower half),1,98,0.52823,0.54042,0.00581,-2.09855,0.9801,1.0,False
PlaqueTotal <= 8 (low third),1,66,0.52057,0.53774,0.00761,-2.25661,0.99005,1.0,False
PlaqueTotal <= 12.1 (lower half),1,95,0.52553,0.54042,0.00581,-2.56303,0.99502,1.0,False
ageDeath > 86 (upper half),1,86,0.52329,0.54096,0.00655,-2.69787,1.0,1.0,False
lastMMSE > 28 (high third),1,48,0.50937,0.53629,0.00985,-2.73478,1.0,1.0,False
celltype_neuron > 0.0182 (upper half),1,95,0.5235,0.54042,0.00581,-2.91235,0.99502,1.0,False
lastMMSE > 25 (upper half),1,91,0.5209,0.54096,0.00655,-3.06271,1.0,1.0,False
