region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron > 0.194 (high third)  AND  celltype_endothelial > -0.043 (upper half),2,46,0.59316,0.58435,0.01562,0.564,0.28856,0.5592,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte <= -0.186 (low third),2,75,0.60326,0.59548,0.01378,0.56393,0.28358,0.5592,False
celltype_neuron > 0.0321 (upper half)  AND  pmi <= 6.5 (lower half),2,99,0.60512,0.599,0.01092,0.56011,0.28358,0.5592,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia <= -0.077 (lower half),2,120,0.61026,0.60413,0.01094,0.56003,0.29353,0.5592,False
celltype_neuron > 0.0321 (upper half)  AND  age_at_visit_max 85.7-90 (middle third),2,122,0.61022,0.60413,0.01094,0.55685,0.29353,0.5592,False
celltype_astrocyte > 0.235 (high third)  AND  msex = 1,2,45,0.5879,0.57936,0.01553,0.5502,0.28358,0.5592,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv > 28 (high third),2,41,0.5879,0.57936,0.01553,0.54995,0.28358,0.5592,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte > 0.164 (high third),2,65,0.5968,0.58907,0.01434,0.53865,0.31343,0.57879,False
celltype_astrocyte > 0.235 (high third)  AND  pmi <= 6.5 (lower half),2,84,0.60281,0.59548,0.01378,0.53177,0.30846,0.57668,False
celltype_neuron > 0.194 (high third)  AND  pmi <= 6.5 (lower half),2,66,0.59738,0.59085,0.01304,0.50055,0.29353,0.5592,False
age_at_visit_max 85.7-90 (middle third),1,266,0.62118,0.61843,0.0055,0.50051,0.29353,0.5592,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc <= 3 (low third),2,77,0.60219,0.59548,0.01378,0.48656,0.32338,0.58993,False
celltype_neuron > 0.194 (high third)  AND  msex = 0,2,87,0.60158,0.59593,0.01201,0.46992,0.33831,0.5955,False
age_first_ad_dx > 89 (upper half),1,66,0.5969,0.59085,0.01304,0.46368,0.31343,0.57879,False
celltype_astrocyte > 0.235 (high third)  AND  age_at_visit_max <= 85.7 (low third),2,43,0.58655,0.57936,0.01553,0.46327,0.30846,0.57668,False
braaksc <= 4 (lower half),1,326,0.62258,0.62076,0.00397,0.46008,0.30348,0.57452,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_endothelial > -0.043 (upper half),2,80,0.60177,0.59548,0.01378,0.45621,0.32836,0.59183,False
pmi > 6.5 (upper half),1,197,0.6161,0.61266,0.0079,0.43583,0.32836,0.59183,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia -0.284-0.197 (middle third),2,82,0.60145,0.59548,0.01378,0.43324,0.33333,0.59369,False
cts_mmse30_lv <= 26 (lower half)  AND  pmi <= 6.5 (lower half),2,110,0.60705,0.60227,0.01113,0.42972,0.31841,0.5844,False
braaksc <= 3 (low third),1,195,0.61576,0.61266,0.0079,0.39263,0.35821,0.62324,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_endothelial -0.263-0.217 (middle third),2,43,0.58502,0.57936,0.01553,0.3649,0.33333,0.59369,False
celltype_neuron > 0.194 (high third)  AND  celltype_astrocyte <= -0.186 (low third),2,54,0.59002,0.58435,0.01562,0.36314,0.33831,0.5955,False
celltype_endothelial <= -0.043 (lower half),1,200,0.61539,0.61266,0.0079,0.3448,0.37313,0.64179,False
