region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
race = White  AND  amyCerad = None/No AD/C0,2,89,89,0.632,0.62506,0.61457,0.28358,0.98513,0.35219,0.49926,False
PMI <= 5.17 (low third)  AND  celltype_microglia > 0.179 (high third),2,88,73,0.63198,0.61761,1.07785,0.12438,0.98403,0.35219,0.34807,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte -0.482-0.323 (middle third),2,146,136,0.63958,0.63143,0.7982,0.22886,0.98,0.34909,0.44932,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,50,33,,0.60846,,,0.97333,0.31113,,False
PMI <= 5.17 (low third)  AND  celltype_astrocyte -0.213-0.236 (middle third),2,99,81,0.63332,0.62296,0.85362,0.21891,0.9608,0.35219,0.44614,False
PMI <= 6.83 (lower half)  AND  ADoutcome = Other,2,69,55,0.62457,0.61572,0.58753,0.26368,0.9465,0.33394,0.48471,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath > 87.7 (high third),2,169,147,0.6376,0.63216,0.6744,0.23881,0.94493,0.384,0.4569,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,87,71,0.63139,0.61761,1.03357,0.12935,0.94387,0.36006,0.3515,False
race = White  AND  bScore = Braak Stage III-IV,2,183,173,0.63851,0.63459,0.44401,0.28358,0.92752,0.33394,0.49926,False
celltype_neuron <= 0.103 (lower half)  AND  apoeGenotype = 34,2,160,103,0.63699,0.62688,0.8363,0.20398,0.92561,0.34909,0.42733,False
Braak = Stage IV,1,164,143,0.63696,0.63143,0.54132,0.30846,0.92194,0.35219,0.52472,False
