region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
educ <= 14 (low third)  AND  celltype_neuron <= -0.149 (low third),2,54,0.57501,0.56094,0.01428,0.98495,0.16418,0.40619,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_endothelial > -0.043 (upper half),2,62,0.57809,0.56586,0.01248,0.98025,0.17413,0.40671,False
apoe_genotype = 33  AND  age_death > 89.4 (upper half),2,130,0.59047,0.58092,0.00974,0.97997,0.1592,0.39981,False
educ <= 14 (low third)  AND  celltype_neuron > 0.194 (high third),2,50,0.57473,0.56094,0.01428,0.96517,0.17413,0.40671,False
educ <= 16 (lower half),1,247,0.59593,0.59002,0.00617,0.95693,0.1791,0.41256,False
celltype_neuron > 0.0321 (upper half),1,200,0.59501,0.58737,0.00802,0.95348,0.17413,0.40671,False
ceradsc = 4  AND  braaksc <= 3 (low third),2,84,0.58224,0.56979,0.01307,0.95239,0.18408,0.41263,False
apoe_genotype = 33  AND  celltype_neuron > 0.194 (high third),2,89,0.58379,0.57315,0.01119,0.95017,0.17413,0.40671,False
apoe_genotype = 33  AND  cogdx = 2,2,68,0.58086,0.56884,0.01271,0.94484,0.16418,0.40619,False
educ <= 14 (low third)  AND  msex = 0,2,120,0.58718,0.5785,0.00948,0.91534,0.16915,0.40671,False
apoe_genotype = 33  AND  braaksc 3-4 (middle third),2,81,0.58162,0.56979,0.01307,0.90537,0.18905,0.42096,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_neuron <= 0.0321 (lower half),2,61,0.5771,0.56586,0.01248,0.90038,0.199,0.43673,False
ceradsc = 4  AND  msex = 1,2,44,0.5709,0.55707,0.01541,0.89791,0.18408,0.41263,False
apoe_genotype = 33  AND  dcfdx_lv = 2,2,70,0.58012,0.56884,0.01271,0.8869,0.1791,0.41256,False
cts_mmse30_lv > 28 (high third),1,90,0.58299,0.57315,0.01119,0.87909,0.20398,0.43673,False
educ <= 14 (low third)  AND  ceradsc = 2,2,52,0.57349,0.56094,0.01428,0.87836,0.18408,0.41263,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  educ <= 16 (lower half),2,87,0.58291,0.57315,0.01119,0.87185,0.20398,0.43673,False
educ <= 14 (low third)  AND  age_death <= 86.8 (low third),2,45,0.57036,0.55707,0.01541,0.86282,0.20398,0.43673,False
educ <= 14 (low third)  AND  celltype_endothelial > 0.217 (high third),2,60,0.57655,0.56586,0.01248,0.85654,0.21393,0.45223,False
cogdx = 1,1,168,0.59103,0.58359,0.00871,0.85417,0.20398,0.43673,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_neuron > 0.0321 (upper half),2,73,0.57939,0.56884,0.01271,0.82939,0.18408,0.41263,False
celltype_microglia <= -0.284 (low third),1,134,0.58874,0.58092,0.00974,0.80193,0.199,0.43673,False
educ <= 14 (low third)  AND  celltype_astrocyte <= 0.0643 (lower half),2,79,0.58026,0.56979,0.01307,0.80121,0.21393,0.45223,False
ceradsc = 4  AND  educ 14-18 (middle third),2,43,0.56926,0.55707,0.01541,0.79124,0.22886,0.46213,False
apoe_genotype = 33  AND  celltype_endothelial <= -0.263 (low third),2,85,0.58002,0.56979,0.01307,0.78267,0.22886,0.46213,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  ceradsc = 1,2,40,0.56912,0.55707,0.01541,0.78219,0.22886,0.46213,False
