region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  PMI > 10 (high third),2,77,0.60558,0.608,0.01655,-0.14632,0.57214,0.73901,False
PMI 5.17-10 (middle third)  AND  ageDeath > 87.7 (high third),2,107,0.61375,0.61579,0.01355,-0.15114,0.55224,0.72336,False
celltype_oligodendrocyte <= -0.11 (lower half),1,482,0.63726,0.63866,0.00589,-0.23767,0.62687,0.79138,False
dataContributionGroup = Emory,1,141,0.61783,0.62091,0.01264,-0.2436,0.60199,0.77044,False
isHispanic = FALSE,1,707,0.64052,0.64149,0.00366,-0.26628,0.63184,0.79407,False
race = Black or African American,1,267,0.6293,0.63177,0.0089,-0.27813,0.58209,0.7484,False
Braak = Stage I,1,68,0.59971,0.60589,0.01728,-0.35758,0.65174,0.80816,False
ADoutcome = Other  AND  sex = male,2,77,0.60199,0.608,0.01655,-0.36324,0.65174,0.80816,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  dataContributionGroup = MSSM,2,82,0.60187,0.608,0.01655,-0.37068,0.65672,0.81073,False
PMI 5.17-10 (middle third)  AND  celltype_microglia -0.289-0.179 (middle third),2,88,0.60669,0.61275,0.01629,-0.37221,0.66169,0.81327,False
amyCerad = Frequent/Definite/C3,1,326,0.63069,0.63383,0.00794,-0.39538,0.64677,0.80816,False
amyA = Thal Phase 1 or 2,1,64,0.59436,0.60113,0.01702,-0.3982,0.62687,0.79138,False
celltype_astrocyte <= -0.213 (low third),1,322,0.63065,0.6341,0.00802,-0.42933,0.68657,0.82693,False
Braak = Stage II,1,86,0.60546,0.61275,0.01629,-0.44774,0.69154,0.82693,False
celltype_neuron <= 0.103 (lower half),1,482,0.63602,0.63866,0.00589,-0.44868,0.72139,0.84923,False
PMI 5.17-10 (middle third)  AND  celltype_neuron -0.0632-0.277 (middle third),2,99,0.60863,0.61518,0.01441,-0.4546,0.66667,0.81579,False
ADoutcome = Other  AND  celltype_astrocyte -0.213-0.236 (middle third),2,64,0.59337,0.60113,0.01702,-0.45587,0.67164,0.81829,False
PMI 5.17-10 (middle third)  AND  ADoutcome = Control,2,67,0.59772,0.60589,0.01728,-0.47269,0.69154,0.82693,False
