source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
ARF6,TMED2,0.3,0.0526,0.289,400,0.00043061270199624686,0.0018870161718052092,1
EIF2S1,SORL1,0.2,0.0523,0.1676,400,1.1254993931375582e-07,1.1387405624685881e-06,1
MAP2K3,MAPKAPK2,0.6,0.0522,0.1587,344,4.252603923932399e-08,4.958968643500832e-07,1
SAR1A,SEC13,0.3,0.0521,0.0372,400,0.0004893843128386634,0.0020783728841543237,1
NCSTN,APP,0.6,0.0512,0.131,304,0.13735075229304072,0.24168111912432744,0
SAR1B,SEC24B,0.6,0.0508,0.0236,400,0.0906106762287729,0.17316707012609933,0
TMED2,SEC24C,0.5,0.0506,0.0138,400,0.04313013854331624,0.09665646683322988,0
AP3B2,BACE1,0.3,0.0504,0.0492,240,0.009165782991917509,0.026607842609448297,1
COPB1,TMED2,0.3,0.0495,0.237,400,0.0009312638174850604,0.003661197179598409,1
VPS35,TMED10,0.2,0.0484,0.063,400,9.474376844389431e-07,7.853459360168589e-06,1
TMED2,SAR1B,0.4,0.048,0.1105,400,0.016348738509635606,0.044109537625997244,1
SEC31A,TMED10,0.2,0.0477,0.1562,400,1.3881280001578465e-06,1.0730697349534814e-05,1
SORL1,TMED10,0.2,0.0477,-0.0221,400,1.3794174795710055e-06,1.0730697349534814e-05,1
AP1G1,BACE1,0.5,0.0476,0.473,400,0.057196958916147095,0.12145527078490494,0
TMED9,GGA1,0.2,0.0467,0.0448,400,2.3196636264506562e-06,1.7160522311807007e-05,1
SAR1B,SEC13,0.3,0.0464,0.0998,400,0.001927751516862309,0.007054750231921641,1
SNX4,APP,0.5,0.0462,0.284,312,0.10318601761842038,0.18830763957950455,0
PLCG2,MAP2K3,0.4,0.0461,0.007,320,0.03928760033251028,0.08920748854378573,0
ABCA7,APP,0.5,0.0453,-0.1673,224,0.17701914728381657,0.29923629811121816,0
SEC16A,SEC23B,0.5,0.0451,-0.0049,400,0.07184113140206007,0.14537264236652156,0
TMED10,RAB1A,0.4,0.0451,-0.2265,400,0.024194497398065066,0.05966241652282711,0
PLG,APP,0.2,0.0445,0.1912,312,7.403479306169776e-05,0.0003945581086720354,1
TMED10,BACE1,0.8,0.0445,-0.3875,400,0.00019381083867193796,0.0009195990138365056,1
OSBP,SEC24D,0.4,0.0443,0.3882,392,0.02821747548639813,0.06787980117007662,0
COPB1,APP,0.2,0.0439,0.8837,312,9.413692880020566e-05,0.00046594393535641365,1
APBA1,LRP1,0.2,0.0437,0.2371,400,1.0545500342893341e-05,6.536310122441999e-05,1
TMED9,SEC13,0.2,0.0436,0.2195,400,1.1033667574105276e-05,6.777824366950383e-05,1
SEC24D,TMED9,0.3,0.0436,0.0356,392,0.003927731430426575,0.013181849873821871,1
BACE1,CLU,0.2,0.0435,0.1475,400,1.1571482337209693e-05,6.983491094737078e-05,1
MFN2,APP,0.3,0.0429,0.3639,312,0.011424870184690279,0.03234695755994614,1
ECE1,BACE1,0.2,0.0427,0.0491,384,2.4405381193636265e-05,0.00013992418551018123,1
ADAM10,SORL1,0.2,0.0424,0.0434,400,1.8899010960907522e-05,0.00011209068569917565,1
SAR1B,SEC23B,0.7,0.0421,0.3564,400,5.301890288532874e-05,0.000294169396654082,1
HSPA5,TMED2,0.3,0.0421,-0.1547,400,0.004944273306442695,0.016354134782848914,1
SEC24D,TMED2,0.4,0.0419,-0.0818,392,0.03826869213931548,0.08718165626440083,0
TMED2,ITPR2,0.4,0.0417,-0.1644,400,0.03735357437784586,0.08623912473811393,0
