source,target,C_conf,C_sign,B_data,absB
AP4E1,SYK,0,0,0.0214,0.0214
AP4E1,TMED9,0,0,0.0069,0.0069
AP4E1,VLDLR,0,0,0.0183,0.0183
AP4E1,VPS26A,0,0,0.0257,0.0257
AP4E1,VPS29,0,0,-0.0012,0.0012
AP4E1,VPS35,0,0,-0.0133,0.0133
AP4M1,AP1G1,3,0,0.0111,0.0111
AP4M1,AP2A1,4,0,-0.0,0.0
AP4M1,AP2B1,4,0,-0.0,0.0
AP4M1,AP3B2,3,0,0.0086,0.0086
AP4M1,AP4B1,5,0,0.0,0.0
AP4M1,AP4E1,5,0,0.0236,0.0236
AP4M1,AP4S1,5,0,0.0393,0.0393
AP4M1,APBA2,0,0,0.0196,0.0196
AP4M1,APOE,0,0,-0.0068,0.0068
AP4M1,APP,5,-1,0.0,0.0
AP4M1,CLU,0,0,0.0109,0.0109
AP4M1,COPB1,0,0,-0.005,0.005
AP4M1,COPG1,0,0,0.0056,0.0056
AP4M1,COPG2,0,0,-0.0277,0.0277
AP4M1,EIF2S1,0,0,0.0218,0.0218
AP4M1,GGA2,0,0,0.0219,0.0219
AP4M1,GGA3,0,0,-0.0056,0.0056
AP4M1,HSPA5,0,0,-0.0166,0.0166
AP4M1,HSPA9,0,0,0.004,0.004
AP4M1,ITPR2,0,0,0.0078,0.0078
AP4M1,LRP1,0,0,-0.0142,0.0142
AP4M1,MAP2K3,0,0,-0.0006,0.0006
AP4M1,MAPKAPK2,0,0,-0.0231,0.0231
AP4M1,MFN2,0,0,0.0091,0.0091
AP4M1,MIA3,0,0,0.0236,0.0236
AP4M1,NCSTN,0,0,0.0119,0.0119
AP4M1,PICALM,1,0,-0.0055,0.0055
AP4M1,PREB,0,0,0.0069,0.0069
AP4M1,PSEN1,0,0,0.025,0.025
AP4M1,SAR1B,0,0,0.0166,0.0166
AP4M1,SEC24A,0,0,0.0307,0.0307
AP4M1,SEC24B,0,0,0.0703,0.0703
AP4M1,SEC24C,0,0,0.0387,0.0387
AP4M1,SEC24D,0,0,0.0077,0.0077
AP4M1,SNX4,0,0,0.0027,0.0027
AP4M1,SORL1,0,0,0.0084,0.0084
AP4M1,SORT1,0,0,0.0027,0.0027
AP4M1,SREBF2,0,0,0.0137,0.0137
AP4M1,SYK,0,0,0.0058,0.0058
AP4M1,VLDLR,0,0,0.0253,0.0253
AP4M1,VPS26A,0,0,0.0198,0.0198
AP4M1,VPS35,0,0,-0.007,0.007
AP4S1,ABCA7,0,0,0.0705,0.0705
AP4S1,ADAM10,0,0,-0.0133,0.0133
AP4S1,AP1G1,3,0,-0.0013,0.0013
AP4S1,AP2A1,4,0,0.0063,0.0063
AP4S1,AP2B1,4,0,-0.0122,0.0122
AP4S1,AP3B2,3,0,0.0586,0.0586
AP4S1,AP4B1,5,0,-0.0,0.0
AP4S1,AP4E1,5,0,0.0441,0.0441
AP4S1,AP4M1,5,0,0.057,0.057
AP4S1,APBA1,0,0,0.0397,0.0397
AP4S1,APBA2,0,0,0.0452,0.0452
AP4S1,APOE,0,0,0.0364,0.0364
