57 states, 2 workers, solver=lw
  [41/57] apoe_genotype=24 n=40 ok best=0.2446 2.4s
  [42/57] cts_mmse30_first_ad_dx=24-30 n=39 ok best=0.1911 2.7s
  [43/57] TangleTotal=3-6 n=37 ok best=0.2138 2.1s
  [44/57] amyThal=1 n=33 ok best=0.2396 2.5s
  [45/57] reag=0 n=33 ok best=0.2379 2.4s
  [46/57] cts_mmse30_lv=6-12 n=30 ok best=0.2076 2.4s
  [47/57] amyThal=2 n=29 ok best=0.219 2.0s
  [48/57] TangleTotal=0-3 n=24 ok best=0.2051 2.2s
  [49/57] TangleTotal=9-12 n=23 ok best=0.2004 2.2s
  [50/57] PlaqueTotal=9-12 n=22 ok best=0.1995 2.5s
  [51/57] cts_mmse30_first_ad_dx=12-18 n=20 ok best=0.1974 2.3s
  [52/57] PlaqueTotal=6-9 n=15 ok best=0.1801 2.3s
  [53/57] cts_mmse30_first_ad_dx=6-12 n=13 ok best=0.1725 2.4s
  [54/57] PlaqueTotal=3-6 n=13 ok best=0.1743 2.2s
  [55/57] apoe_genotype=22 n=8 ok best=0.1712 2.5s
  [56/57] cts_mmse30_first_ad_dx=0-6 n=6 ok best=0.1646 2.1s
  [57/57] braaksc=0 n=6 ok best=0.163 2.5s
done in 70s -> /home/claude/cw/big1/results_sweep_best_with_context/summary.csv
21 states, 2 workers, solver=lw
  [1/21] sex=female n=941 ok best=0.3624 2.5s
  [2/21] apoe_genotype=33 n=804 ok best=0.3624 2.5s
  [3/21] sex=male n=629 ok best=0.3877 2.0s
  [4/21] amyAny=1 n=521 ok best=0.4074 2.5s
  [5/21] apoe_genotype=34 n=422 ok best=0.3896 2.5s
  [6/21] cts_mmse30_lv=24-30 n=367 ok best=0.3023 2.5s
  [7/21] braaksc=4 n=360 ok best=0.3365 2.6s
  [8/21] amyCerad=3 n=333 ok best=0.4132 2.4s
  [9/21] braaksc=3 n=321 ok best=0.3612 2.3s
  [10/21] braaksc=5 n=310 ok best=0.3637 2.3s
  [11/21] amyA=3 n=277 ok best=0.47 2.5s
  [12/21] braaksc=6 n=268 ok best=0.4391 2.3s
  [13/21] reag=3 n=244 ok best=0.4008 2.3s
  [14/21] ceradsc=3 n=219 ok best=0.2907 2.3s
  [15/21] reag=2 n=218 ok best=0.3862 2.1s
  [16/21] amyThal=5 n=218 ok best=0.4817 2.6s
  [17/21] reag=1 n=197 ok best=0.3457 2.4s
  [18/21] amyCerad=0 n=171 ok best=0.4058 2.3s
  [19/21] ceradsc=2 n=169 ok best=0.2735 2.1s
  [20/21] amyAny=0 n=171 ok best=0.4036 2.4s
  [21/21] apoe_genotype=23 n=158 ok best=0.3157 2.1s
done in 27s -> /home/claude/cw/big1/results_sweep_winner_seed111/summary.csv
21 states, 2 workers, solver=lw
  [1/21] apoe_genotype=33 n=804 ok best=0.362 2.3s
  [2/21] sex=female n=941 ok best=0.366 2.3s
  [3/21] amyAny=1 n=521 ok best=0.4089 2.2s
  [4/21] sex=male n=629 ok best=0.3859 2.4s
  [5/21] apoe_genotype=34 n=422 ok best=0.3846 1.9s
  [6/21] cts_mmse30_lv=24-30 n=367 ok best=0.3051 2.6s
  [7/21] braaksc=4 n=360 ok best=0.3341 2.4s
  [8/21] amyCerad=3 n=333 ok best=0.4119 2.4s
  [9/21] braaksc=3 n=321 ok best=0.3618 2.4s
  [10/21] braaksc=5 n=310 ok best=0.3615 2.2s
  [11/21] amyA=3 n=277 ok best=0.4659 2.1s
  [12/21] braaksc=6 n=268 ok best=0.44 2.1s
  [13/21] reag=3 n=244 ok best=0.3983 2.0s
  [14/21] ceradsc=3 n=219 ok best=0.287 2.1s
  [15/21] amyThal=5 n=218 ok best=0.4759 2.4s
  [16/21] reag=2 n=218 ok best=0.3883 2.5s
  [17/21] reag=1 n=197 ok best=0.3486 2.4s
  [18/21] amyCerad=0 n=171 ok best=0.4069 2.6s
  [19/21] amyAny=0 n=171 ok best=0.4014 2.2s
  [20/21] ceradsc=2 n=169 ok best=0.2738 2.2s
  [21/21] apoe_genotype=23 n=158 ok best=0.3148 2.3s
done in 26s -> /home/claude/cw/big1/results_sweep_winner_seed222/summary.csv
21 states, 2 workers, solver=lw
  [1/21] apoe_genotype=33 n=804 ok best=0.3629 12.1s
  [2/21] sex=female n=941 ok best=0.3673 12.6s
  [3/21] sex=male n=629 ok best=0.3874 12.8s
  [4/21] amyAny=1 n=521 ok best=0.4131 12.4s
  [5/21] apoe_genotype=34 n=422 ok best=0.3885 12.5s
  [6/21] cts_mmse30_lv=24-30 n=367 ok best=0.3103 13.6s
  [7/21] braaksc=4 n=360 ok best=0.3405 13.2s
  [8/21] amyCerad=3 n=333 ok best=0.413 12.6s
  [9/21] braaksc=3 n=321 ok best=0.3612 11.9s
  [10/21] braaksc=5 n=310 ok best=0.3634 12.7s
  [11/21] amyA=3 n=277 ok best=0.4743 13.0s
  [12/21] braaksc=6 n=268 ok best=0.4375 12.2s
  [13/21] reag=3 n=244 ok best=0.4013 12.1s
  [14/21] ceradsc=3 n=219 ok best=0.289 13.8s
  [15/21] amyThal=5 n=218 ok best=0.4833 12.9s
  [16/21] reag=2 n=218 ok best=0.3899 13.2s
  [17/21] reag=1 n=197 ok best=0.3554 12.9s
  [18/21] amyCerad=0 n=171 ok best=0.409 13.6s
  [19/21] amyAny=0 n=171 ok best=0.4079 13.4s
